Course No,Section,Instructor,Enrollment,Responses,Percent
BIBC 100,A09,"Huffaker, Alisa",27,15,55.56%
BIBC 100,A10,"Huffaker, Alisa",29,14,48.28%
BIBC 100,A11,"Huffaker, Alisa",20,11,55.00%
BIBC 100,A12,"Huffaker, Alisa",7,1,14.29%
BIBC 102,A01,"Schmelz, Eric Alexander",22,12,54.55%
BIBC 102,A02,"Schmelz, Eric Alexander",21,10,47.62%
BIBC 102,B01,"Hampton, Randolph Y.",32,14,43.75%
BIBC 102,B02,"Hampton, Randolph Y.",30,13,43.33%
BIBC 102,B03,"Hampton, Randolph Y.",31,16,51.61%
BIBC 102,B04,"Hampton, Randolph Y.",32,15,46.88%
BIBC 102,B05,"Hampton, Randolph Y.",32,17,53.13%
BIBC 102,B06,"Hampton, Randolph Y.",31,13,41.94%
BIBC 102,B07,"Hampton, Randolph Y.",31,17,54.84%
BIBC 102,B08,"Hampton, Randolph Y.",32,11,34.38%
BIBC 102,B09,"Hampton, Randolph Y.",32,17,53.13%
BIBC 102,B10,"Hampton, Randolph Y.",31,16,51.61%
BIBC 102,B11,"Hampton, Randolph Y.",32,11,34.38%
BIBC 102,B12,"Hampton, Randolph Y.",30,15,50.00%
BIBC 102,B13,"Hampton, Randolph Y.",30,11,36.67%
BIBC 102,C01,"Mohan, Swarna",14,10,71.43%
BIBC 102,C02,"Mohan, Swarna",18,16,88.89%
BIBC 102,C03,"Mohan, Swarna",15,15,100.00%
BIBC 102,C04,"Mohan, Swarna",29,23,79.31%
BIBC 102,C05,"Mohan, Swarna",15,13,86.67%
BIBC 102,C06,"Mohan, Swarna",10,7,70.00%
BIBC 103,A01,"Soowal, Lara",18,9,50.00%
BIBC 103,A02,"Soowal, Lara",5,4,80.00%
BIBC 103,A03,"Soowal, Lara",1,1,100.00%
BIBC 103,B01,"Coleman, Aaron B.",21,19,90.48%
BIBC 103,B02,"Coleman, Aaron B.",22,20,90.91%
BIBC 103,B03,"Coleman, Aaron B.",23,23,100.00%
BIBC 103,C01,"Bozinovic, Goran",24,13,54.17%
BIBC 103,C02,"Bozinovic, Goran",16,4,25.00%
BIBC 103,C03,"Bozinovic, Goran",23,7,30.43%
BIBC 120,A01,"Coleman, Aaron B.",25,21,84.00%
BIBC 120,A02,"Coleman, Aaron B.",31,24,77.42%
BIBC 120,A03,"Coleman, Aaron B.",32,27,84.38%
BIBC 120,A04,"Coleman, Aaron B.",30,23,76.67%
BIBC 120,A05,"Coleman, Aaron B.",29,15,51.72%
BIBC 120,A06,"Coleman, Aaron B.",32,23,71.88%
BIBC 120,A07,"Coleman, Aaron B.",26,15,57.69%
BIBC 120,A08,"Coleman, Aaron B.",27,20,74.07%
BIBC 120,A09,"Coleman, Aaron B.",25,15,60.00%
BIBC 120,A10,"Coleman, Aaron B.",17,10,58.82%
BIBC 120,A11,"Coleman, Aaron B.",29,23,79.31%
BIBC 120,A12,"Coleman, Aaron B.",29,21,72.41%
BIBC 194,A00,"Hui, Enfu",26,9,34.62%
BICD 100,A01,"Bozinovic, Goran",29,17,58.62%
BICD 100,A02,"Bozinovic, Goran",32,17,53.13%
BICD 100,A03,"Bozinovic, Goran",31,14,45.16%
BICD 100,A04,"Bozinovic, Goran",31,19,61.29%
BICD 100,A05,"Bozinovic, Goran",29,12,41.38%
BICD 100,A06,"Bozinovic, Goran",32,23,71.88%
BICD 100,A07,"Bozinovic, Goran",30,17,56.67%
BICD 100,A08,"Bozinovic, Goran",30,18,60.00%
BICD 100,A09,"Bozinovic, Goran",32,22,68.75%
BICD 100,A10,"Bozinovic, Goran",31,18,58.06%
BICD 100,A11,"Bozinovic, Goran",29,16,55.17%
BICD 100,A12,"Bozinovic, Goran",30,18,60.00%
BICD 100,A13,"Bozinovic, Goran",31,11,35.48%
BICD 100,B01,"Reuther, Keefe",32,29,90.63%
BICD 100,B02,"Reuther, Keefe",32,28,87.50%
BICD 100,B03,"Reuther, Keefe",32,28,87.50%
BICD 100,B04,"Reuther, Keefe",32,28,87.50%
BICD 100,B05,"Reuther, Keefe",32,28,87.50%
BICD 100,B06,"Reuther, Keefe",32,27,84.38%
BICD 100,B07,"Reuther, Keefe",32,23,71.88%
BICD 100,B08,"Reuther, Keefe",32,26,81.25%
BICD 100,B09,"Reuther, Keefe",32,26,81.25%
BICD 100,B10,"Reuther, Keefe",32,28,87.50%
BICD 100,B11,"Reuther, Keefe",32,30,93.75%
BICD 100,B12,"Reuther, Keefe",32,26,81.25%
BICD 100,B13,"Reuther, Keefe",26,24,92.31%
BICD 110,A01,"Kiger, Amy",21,18,85.71%
BICD 110,A02,"Kiger, Amy",18,14,77.78%
BICD 110,B01,"Grossman, Emily N",29,23,79.31%
BICD 110,B02,"Grossman, Emily N",30,26,86.67%
BICD 110,B03,"Grossman, Emily N",31,27,87.10%
BICD 110,B04,"Grossman, Emily N",33,33,100.00%
BICD 110,B05,"Grossman, Emily N",25,21,84.00%
BICD 110,B06,"Grossman, Emily N",32,26,81.25%
BICD 140,A01,"Zuniga, Elina I",14,7,50.00%
BICD 140,A02,"Zuniga, Elina I",23,15,65.22%
BICD 140,A03,"Zuniga, Elina I",23,12,52.17%
BICD 140,A04,"Zuniga, Elina I",28,17,60.71%
BIEB 102,A01,"Shurin, Jonathan",31,24,77.42%
BIEB 102,A02,"Shurin, Jonathan",29,14,48.28%
BIEB 102,A03,"Shurin, Jonathan",30,20,66.67%
BIEB 102,A04,"Shurin, Jonathan",30,17,56.67%
BIEB 102,A05,"Shurin, Jonathan",26,19,73.08%
BIEB 121,A00,"Butler, Shannon Rhey",16,16,100.00%
BIEB 126,A01,"Kohn, Joshua R",30,13,43.33%
BIEB 126,A02,"Kohn, Joshua R",16,5,31.25%
BIEB 126,A03,"Kohn, Joshua R",30,18,60.00%
BIEB 146,A01,"Petrie, Katherine Lynn",32,30,93.75%
BIEB 146,A02,"Petrie, Katherine Lynn",30,29,96.67%
BIEB 146,A03,"Petrie, Katherine Lynn",29,25,86.21%
BIEB 156,A01,"Kryazhimskiy, Sergey A",6,6,100.00%
BIEB 156,A02,"Kryazhimskiy, Sergey A",2,2,100.00%
BIEB 174,A01,"Barton, Andrew David",30,23,76.67%
BIEB 174,A01,"Cleland, Elsa Eleanor",30,23,76.67%
BIEB 174,A02,"Barton, Andrew David",27,14,51.85%
BIEB 174,A02,"Cleland, Elsa Eleanor",27,14,51.85%
BIEB 174,A03,"Barton, Andrew David",29,18,62.07%
BIEB 174,A03,"Cleland, Elsa Eleanor",29,18,62.07%
BIEB 174,A04,"Barton, Andrew David",30,22,73.33%
BIEB 174,A04,"Cleland, Elsa Eleanor",30,22,73.33%
BIEB 174,A05,"Barton, Andrew David",16,10,62.50%
BIEB 174,A05,"Cleland, Elsa Eleanor",16,11,68.75%
BIEB 174,A06,"Barton, Andrew David",9,8,88.89%
BIEB 174,A06,"Cleland, Elsa Eleanor",9,8,88.89%
BILD 1,A01,"Mel, Stephanie",32,11,34.38%
BILD 1,A02,"Mel, Stephanie",31,14,45.16%
BILD 1,A03,"Mel, Stephanie",32,13,40.63%
BILD 1,A04,"Mel, Stephanie",30,16,53.33%
BILD 1,A05,"Mel, Stephanie",29,14,48.28%
BILD 1,A06,"Mel, Stephanie",31,12,38.71%
BILD 1,A07,"Mel, Stephanie",31,19,61.29%
BILD 1,A08,"Mel, Stephanie",30,17,56.67%
BILD 1,A09,"Mel, Stephanie",29,11,37.93%
BILD 1,B01,"Cooper, Andrew Michael",31,26,83.87%
BILD 1,B02,"Cooper, Andrew Michael",32,28,87.50%
BILD 1,B03,"Cooper, Andrew Michael",30,28,93.33%
BILD 1,B04,"Cooper, Andrew Michael",31,28,90.32%
BILD 1,B05,"Cooper, Andrew Michael",31,27,87.10%
BILD 1,B06,"Cooper, Andrew Michael",31,26,83.87%
BILD 1,B07,"Cooper, Andrew Michael",31,31,100.00%
BILD 1,B08,"Cooper, Andrew Michael",30,27,90.00%
BILD 1,B09,"Cooper, Andrew Michael",31,26,83.87%
BILD 1,C01,"Byrne, Kathryne",28,18,64.29%
BILD 1,C02,"Byrne, Kathryne",29,13,44.83%
BILD 1,C03,"Byrne, Kathryne",30,18,60.00%
BILD 1,C04,"Byrne, Kathryne",31,13,41.94%
BILD 1,C05,"Byrne, Kathryne",28,13,46.43%
BILD 10,A01,"Burg, Michael",32,26,81.25%
BILD 10,A02,"Burg, Michael",31,26,83.87%
BILD 10,A03,"Burg, Michael",31,26,83.87%
BILD 10,A04,"Burg, Michael",31,26,83.87%
BILD 10,A05,"Burg, Michael",32,30,93.75%
BILD 10,A06,"Burg, Michael",31,25,80.65%
BILD 10,A07,"Burg, Michael",32,28,87.50%
BILD 10,A08,"Burg, Michael",30,22,73.33%
BILD 10,A09,"Burg, Michael",32,29,90.63%
BILD 10,A10,"Burg, Michael",31,30,96.77%
BILD 10,A11,"Burg, Michael",31,28,90.32%
BILD 2,A01,"Burg, Michael",32,29,90.63%
BILD 2,A02,"Burg, Michael",32,28,87.50%
BILD 2,A03,"Burg, Michael",30,24,80.00%
BILD 2,A04,"Burg, Michael",31,28,90.32%
BILD 2,A05,"Burg, Michael",32,29,90.63%
BILD 2,A06,"Burg, Michael",30,29,96.67%
BILD 2,A07,"Burg, Michael",31,30,96.77%
BILD 2,A08,"Burg, Michael",32,27,84.38%
BILD 2,A09,"Burg, Michael",32,29,90.63%
BILD 2,A10,"Burg, Michael",31,30,96.77%
BILD 2,A11,"Burg, Michael",30,28,93.33%
BILD 2,A12,"Burg, Michael",31,31,100.00%
BILD 2,A13,"Burg, Michael",25,22,88.00%
BILD 20,A01,"Rana, Brinda Kanti",30,17,56.67%
BILD 20,A02,"Rana, Brinda Kanti",31,18,58.06%
BILD 20,A03,"Rana, Brinda Kanti",26,20,76.92%
BILD 20,A04,"Rana, Brinda Kanti",26,9,34.62%
BILD 3,A01,"Stockwell, Sarah R",32,24,75.00%
BILD 3,A02,"Stockwell, Sarah R",32,23,71.88%
BILD 3,A03,"Stockwell, Sarah R",31,21,67.74%
BILD 3,A04,"Stockwell, Sarah R",32,26,81.25%
BILD 3,A05,"Stockwell, Sarah R",32,20,62.50%
BILD 3,A06,"Stockwell, Sarah R",32,23,71.88%
BILD 3,A07,"Stockwell, Sarah R",32,25,78.13%
BILD 3,A08,"Stockwell, Sarah R",31,22,70.97%
BILD 3,A09,"Stockwell, Sarah R",31,27,87.10%
BILD 3,A10,"Stockwell, Sarah R",32,28,87.50%
BILD 3,A11,"Stockwell, Sarah R",32,23,71.88%
BILD 3,A12,"Stockwell, Sarah R",32,27,84.38%
BILD 3,B01,"Stockwell, Sarah R",31,18,58.06%
BILD 3,B02,"Stockwell, Sarah R",31,24,77.42%
BILD 3,B03,"Stockwell, Sarah R",30,27,90.00%
BILD 3,B04,"Stockwell, Sarah R",31,27,87.10%
BILD 3,B05,"Stockwell, Sarah R",29,24,82.76%
BILD 3,B06,"Stockwell, Sarah R",32,28,87.50%
BILD 3,B07,"Stockwell, Sarah R",32,26,81.25%
BILD 3,B08,"Stockwell, Sarah R",31,26,83.87%
BILD 3,B09,"Stockwell, Sarah R",31,25,80.65%
BILD 3,B10,"Stockwell, Sarah R",32,23,71.88%
BILD 3,B11,"Stockwell, Sarah R",32,26,81.25%
BILD 3,B12,"Stockwell, Sarah R",30,25,83.33%
BILD 3,C01,"Broccard Bell, Heather Chr",27,19,70.37%
BILD 3,C02,"Broccard Bell, Heather Chr",21,7,33.33%
BILD 3,C03,"Broccard Bell, Heather Chr",27,14,51.85%
BILD 3,C04,"Broccard Bell, Heather Chr",16,8,50.00%
BILD 3,C05,"Broccard Bell, Heather Chr",27,17,62.96%
BILD 4,A01,"Lo, Stanley Malvin Ming-Hi",31,26,83.87%
BILD 4,A02,"Lo, Stanley Malvin Ming-Hi",31,25,80.65%
BILD 4,A03,"Lo, Stanley Malvin Ming-Hi",30,26,86.67%
BILD 4,A04,"Lo, Stanley Malvin Ming-Hi",32,27,84.38%
BILD 4,A05,"Lo, Stanley Malvin Ming-Hi",30,29,96.67%
BILD 4,A06,"Lo, Stanley Malvin Ming-Hi",31,29,93.55%
BILD 4,A07,"Lo, Stanley Malvin Ming-Hi",31,28,90.32%
BILD 4,A08,"Lo, Stanley Malvin Ming-Hi",30,29,96.67%
BILD 4,A09,"Lo, Stanley Malvin Ming-Hi",32,29,90.63%
BILD 4,A10,"Lo, Stanley Malvin Ming-Hi",31,25,80.65%
BILD 4,A11,"Lo, Stanley Malvin Ming-Hi",32,26,81.25%
BILD 4,A12,"Lo, Stanley Malvin Ming-Hi",31,26,83.87%
BILD 4,B01,"Mel, Stephanie",32,28,87.50%
BILD 4,B02,"Mel, Stephanie",31,20,64.52%
BILD 4,B03,"Mel, Stephanie",31,28,90.32%
BILD 4,B04,"Mel, Stephanie",31,25,80.65%
BILD 4,B05,"Mel, Stephanie",31,21,67.74%
BILD 4,B06,"Mel, Stephanie",30,26,86.67%
BILD 60,A01,"Macagno, Eduardo R.",21,7,33.33%
BILD 60,A02,"Macagno, Eduardo R.",20,10,50.00%
BILD 70,A00,"Mohan, Swarna",27,20,74.07%
BILD 87,A00,"Saier, Milton H.",19,11,57.89%
BILD 87,B00,"Saier, Milton H.",19,11,57.89%
BILD 96,A00,"Butler, Madeline",22,21,95.45%
BIMM 100,A01,"Lykke-Andersen, Jens",29,28,96.55%
BIMM 100,A02,"Lykke-Andersen, Jens",31,24,77.42%
BIMM 100,A03,"Lykke-Andersen, Jens",31,20,64.52%
BIMM 100,A04,"Lykke-Andersen, Jens",31,21,67.74%
BIMM 100,A05,"Lykke-Andersen, Jens",31,24,77.42%
BIMM 100,A06,"Lykke-Andersen, Jens",30,23,76.67%
BIMM 100,A07,"Lykke-Andersen, Jens",30,24,80.00%
BIMM 100,A08,"Lykke-Andersen, Jens",30,27,90.00%
BIMM 100,A09,"Lykke-Andersen, Jens",29,21,72.41%
BIMM 100,B01,"Pasquinelli, Amy",17,10,58.82%
BIMM 100,B02,"Pasquinelli, Amy",12,9,75.00%
BIMM 100,B03,"Pasquinelli, Amy",31,23,74.19%
BIMM 100,B04,"Pasquinelli, Amy",32,25,78.13%
BIMM 100,B05,"Pasquinelli, Amy",9,9,100.00%
BIMM 100,B06,"Pasquinelli, Amy",28,24,85.71%
BIMM 100,B07,"Pasquinelli, Amy",29,24,82.76%
BIMM 100,B08,"Pasquinelli, Amy",31,28,90.32%
BIMM 100,B09,"Pasquinelli, Amy",30,25,83.33%
BIMM 101,A01,"Day, Christopher D",22,5,22.73%
BIMM 101,A02,"Day, Christopher D",20,8,40.00%
BIMM 101,B01,"Miller, Steven W.",22,19,86.36%
BIMM 101,B02,"Miller, Steven W.",22,15,68.18%
BIMM 101,C01,"Grossman, Emily N",23,22,95.65%
BIMM 101,C02,"Grossman, Emily N",24,24,100.00%
BIMM 101,E01,"Cooper, Andrew Michael",20,19,95.00%
BIMM 101,E02,"Cooper, Andrew Michael",20,17,85.00%
BIMM 101,F01,"Reuther, Keefe",21,9,42.86%
BIMM 101,F02,"Reuther, Keefe",21,8,38.10%
BIMM 101,G01,"Tour, Ella",22,8,36.36%
BIMM 101,G02,"Tour, Ella",23,12,52.17%
BIMM 101,G03,"Tour, Ella",23,11,47.83%
BIMM 101,G04,"Tour, Ella",21,11,52.38%
BIMM 110,A01,"Day, Christopher D",34,15,44.12%
BIMM 110,A02,"Day, Christopher D",33,14,42.42%
BIMM 110,A03,"Day, Christopher D",34,14,41.18%
BIMM 110,A04,"Day, Christopher D",28,10,35.71%
BIMM 110,A05,"Day, Christopher D",27,12,44.44%
BIMM 110,A06,"Day, Christopher D",30,12,40.00%
BIMM 110,A07,"Day, Christopher D",29,14,48.28%
BIMM 110,A08,"Day, Christopher D",30,19,63.33%
BIMM 110,A09,"Day, Christopher D",31,12,38.71%
BIMM 116,A01,"Golden, Susan S.",29,20,68.97%
BIMM 116,A01,"Gorman, Michael R.",29,20,68.97%
BIMM 116,A02,"Golden, Susan S.",32,27,84.38%
BIMM 116,A02,"Gorman, Michael R.",32,26,81.25%
BIMM 116,A03,"Golden, Susan S.",42,38,90.48%
BIMM 116,A03,"Gorman, Michael R.",42,38,90.48%
BIMM 116,A04,"Golden, Susan S.",36,30,83.33%
BIMM 116,A04,"Gorman, Michael R.",36,29,80.56%
BIMM 116,A05,"Golden, Susan S.",16,15,93.75%
BIMM 116,A05,"Gorman, Michael R.",16,15,93.75%
BIMM 120,A01,"Pirino, Giorgia",28,23,82.14%
BIMM 120,A02,"Pirino, Giorgia",23,18,78.26%
